미인,이럴거면,유혹의 소나타,미워요,잔소리,Love Love Love,안녕,흰눈,추억은 사랑을 닮아,사랑…후에,So Hot,하루 하루,Love,Nobody,서커스,마지막인사,사랑과 전쟁,U-Go-Girl,천국,가지마 가지마,Gee,I Don't Care,Abracadabra,HeartBreaker,Again&Again,심장이 없어,사랑비,Fire,쏘리 쏘리,Lollipop,Bad Girl Good Girl,잔소리,죽을 만큼 아파서,못해,죽어도 못 보내,Oh!,2 Different Tears,너 때문에 미쳐,밥만 잘 먹더라,Go Away,Roly-Poly,바람났어,내가 제일 잘 나가,비가 오는 날엔,TV를 껐네…,So Cool,UGLY,좋은 날,살다가 한번쯤,안녕이라고 말하지마,강남스타일,나혼자,벚꽃 엔딩,Loving U,FANTASTIC BABY,I Love  You,정말로 사랑한다면,Heaven,하루 끝,첫사랑,자니,눈물,NoNoNo,눈물샤워,물음표,Give It To Me,이름이 뭐예요?,모노드라마,My Love,있다 없으니까,썸,야생화,눈. 코. 입,금요일에 만나요,한여름밤의 꿀,봄 사랑 벚꽃 말고,Mr.Chu,너의 의미,Something,200%,뱅뱅뱅,같은 시간 속의 너,꺼내 먹어요,이럴거면 그러지말지,위잉위잉,LOSER,BAE BAE,그냥,양화대교,우연히 봄
25,25,13,25,22.5,16,21,23,25.5,20,22.5,18.5,26,22.5,14,21.5,24.5,17,19,21.5,13,23,22,15.5,19.5,13,25.5,23,17.5,18,26,26.5,18.5,17.5,12,25,14,19.5,23,22.5,21,14,21,14.5,17,17.5,21,20,19,26.5,20,26,19,27,19,24,22,28,26,12,18.5,17.5,27,15,17.5,29,15,22.5,21,26.5,23,18,23,27,15.5,18,23,26.5,17.5,25.5,24,22,17.5,24.5,26,22.5,18,19,18.5,22
24,18,14,21,17,16,21,19,23,20,22.5,19.5,26,22.5,14,21.5,25.5,18,19,21.5,13,21.5,22,15.5,21.5,13,25,23,17.5,18,25,26.5,18.5,17,17.5,26,14,19.5,24.5,24.5,20,14,21,14.5,17,17.5,19.5,21,21,25,20,26,20,28.5,19,24,21,23,26.5,14,18.5,17.5,27,15,17.5,29,16,20,21.5,28,22,18.5,23,26,15.5,26,27,28,21.5,26.5,24,21,17.5,24.5,26,22.5,18,19,17.5,22
25,25,13,25,18,16,21,19,24.5,19,22.5,15.5,26,24.5,14,20,25.5,18,19,22.5,13,23,24,17,21.5,14.5,24,23,17.5,18,24,26.5,18.5,17.5,16,25,14,19.5,24.5,24.5,21,14,21,14.5,17,17.5,15.5,21,22,26.5,20,26,21.5,27,19,25,21,23,28,18,18.5,17.5,26,15,17.5,29,16,20,21.5,26.5,23,18.5,23,27,15.5,19,26,26.5,21.5,28.5,22.5,23,23,25.5,26,22.5,18,19,19.5,22
24,24,19,26,18,16,17,19.5,24.5,18,25.5,18.5,26,24.5,14,21.5,21.5,17,19,21.5,13,24.5,22,18,19.5,13,22.5,23,17.5,18,22,26.5,18.5,18.5,17.5,26,14,19.5,23,22.5,23,14,24,14.5,17,17.5,17,21,21,29,20,25,21.5,27,19,22.5,22,25,21,16,18.5,17.5,25,15,17.5,29,15,20,22.5,28,22,24,23,28.5,15.5,26,27,22.5,23,21.5,24,22,24.5,26.5,26,22.5,21,19,20,22
24,23,16,26,17,16,16,19.5,20,19,25.5,18.5,26,24.5,14,18.5,23,21,19,21.5,13,23,22,18,21.5,13,19.5,23,24.5,16,21,28.5,18.5,19.5,18,26,14,19.5,22,24.5,22,14,24,14.5,17,17.5,18.5,21,21,29,20,26,19,26,19,22.5,24,25,21,16,18.5,17.5,26,15,17.5,28,16,20,21.5,26.5,24.5,24,23,28.5,15.5,25,26,24,20,21.5,25,18,24.5,25.5,26,22.5,18,19.5,19.5,22
23,23,19,26,18,16,17,22,23,22,22.5,18.5,25.5,24.5,14,18.5,21.5,19.5,21,21.5,14.5,23,23,18,21.5,14.5,19.5,23,24.5,20,26,28.5,18.5,20,17.5,26,26.5,19.5,22,24.5,21,14,23,14.5,17,17.5,17,21,19,28,20,25,19,26,19,22.5,22.5,26,26.5,11,18,17.5,27,15,17.5,28,17.5,19,21,25.5,24.5,24,23,29,15.5,26,27,25.5,21.5,21.5,25,18,16,26.5,26,22.5,18,18.5,18.5,22
24,24.5,19,26.5,17,16,19,23,22.5,23,22.5,18.5,25.5,24.5,14,18.5,23,17,21,21.5,16,23,22,18,19.5,18.5,21,25,24.5,19,26,28.5,18.5,18.5,16,25,26.5,19.5,20,24.5,20,14,24,14.5,17,17.5,18.5,21,18,28,20,23,17.5,23,19,19.5,22,27,26.5,12,18,17.5,26,15,17.5,26.5,15,19,21.5,28,24.5,25,23,30,15.5,27,23,25.5,20,21.5,25,24,20,27,28,22.5,18,18,17.5,22
23,25,26,26,15.5,16,19,24,22.5,22,23,19.5,25.5,22.5,14,20,25.5,17,22,21.5,17.5,24.5,22,17,21.5,19,22.5,24.5,24.5,18,24,28.5,18.5,17.5,15,24,26.5,19.5,23,25.5,20,14,24,14.5,17,17.5,15.5,21,18,26.5,20,26,18.5,28.5,19,22.5,21,25,25,14,18,17.5,27,15,17.5,28,15,20,19.5,26.5,24.5,25.5,25.5,28.5,15.5,23,23,25.5,19,21.5,24,23,19,26.5,26,22.5,18,17,19.5,22
22,25,19,26,17,16,22,23,23,20,23,15.5,26,26.5,14,21.5,23,17,21,21.5,18.5,23,22,19.5,21.5,20,25,23,23,17.5,21,28,18.5,17.5,19,26.5,25.5,19.5,24.5,22.5,19,14,23,14.5,17,19,15.5,21,22,28,20,26,19,30,19,19.5,21,25,24,18,18,17.5,26,15,17.5,26.5,15,20,19.5,28,24.5,25.5,23,26,15.5,23,22,25.5,20,21.5,22.5,24,18.5,25.5,28,24,18,17,20,22
18,22,16,25,17,16,22,24,23,22,23,15.5,26,26.5,14,21.5,23,18,23,21,16,23,24,17,19.5,20,25,23,23,16,21,28,18.5,17,19,26.5,14,19.5,23,24.5,23,14,24,14.5,17,19,19.5,20,23,26.5,20,26,17.5,28.5,19,22,19.5,27,24,16,18,17.5,27,15,17.5,28.5,16,19,21.5,26.5,27,22.5,23,26,14,22,26,25.5,21.5,21.5,24,25,18.5,26.5,26,22,18,15.5,19.5,22
23,22,20,25,17,16,22,26,22.5,23,22.5,18.5,28,26.5,14,22.5,21.5,19,22,21.5,17.5,23,22,18,21.5,20,25,23,23,18,21,25.5,18.5,18.5,17.5,26.5,14,19.5,22,24.5,22,14,25,14.5,17,18.5,18.5,21.5,24,17,20,25,17.5,27,19,22.5,19.5,27,28,15,21.5,17.5,26,15,17.5,28,16,20,21,28,26,22.5,23,26,14,26,25,25.5,20,22.5,25,21,19,26.5,25,22.5,18,18,18.5,22
22,24.5,20,24,18,16,22,23,23,18,22.5,18.5,28,26.5,14,23,20,18,22,21.5,18.5,24.5,22,17,22.5,20,25.5,20,23,18,21,25,18.5,19.5,18,26.5,14,19.5,22,22.5,21,14,24,14.5,17,17.5,18.5,21.5,23,19.5,20,26,18.5,26,19,22.5,19.5,27,26,15,21.5,17.5,26,15,17.5,26.5,15,21,22.5,26.5,24.5,25,28,25.5,15.5,20,24.5,26.5,19,22.5,25,20,20,25.5,25,24,18,17,19.5,22
22,25,20,24,17,16,22,21,20,18,22.5,19.5,28,26.5,14,21.5,28.5,17,22,18.5,18.5,25.5,22,15.5,17,20,24,23,22,18,24,25.5,18.5,18.5,19,28,14,21.5,20,27,20,14,24,14.5,17,17.5,18.5,21.5,23,19.5,20,27,16,26,19,22.5,21,27,28,14,24,17.5,25,15,17.5,25,15,20,21.5,25.5,24.5,25.5,27,24.5,15.5,26,25,28,17.5,22.5,24,21,18.5,26.5,24,19.5,18,18,20,22
21,21,20,23,15,16,21,22,23,18,25.5,17.5,28,26.5,14,23,27,17,23,19.5,18.5,25.5,22,18,24,20,25,23,22,18,24,25.5,18.5,19.5,19,28,14,19.5,23,26.5,19,14,25,14.5,17,16,18,22.5,21,21,20,26,14.5,23,19,24,22,27,28,14,22.5,17.5,24.5,15,17.5,29,16,21,19.5,26.5,27,25,26,25.5,15.5,26,25,26.5,21.5,28,22.5,25,18.5,29.5,24,25,18,17,19.5,22
21,23,16,23,15,16,21,24,22.5,19,25.5,19.5,27,26.5,14,21.5,25.5,17,22,21.5,18.5,25.5,22,18.5,22.5,20,22,23,22,18,26,29.5,18.5,20,20,28,14,19.5,22,26.5,16,14,21,14.5,17,19,18.5,23,23,21,20,25,16,23,19,22.5,21,27,26,14,21.5,17.5,25,15,17.5,28,13,20,19.5,25.5,26,21.5,25,25.5,15.5,25,28,26.5,19,28,24,25,18.5,26.5,15,19.5,18,18,18.5,22
16,22,21,22,15.5,16,19,25,22.5,20,22.5,19.5,27,26.5,14,21.5,25.5,21,21,21.5,18.5,25.5,22,18,21.5,18.5,22.5,23,22,18,25,22.5,18.5,19.5,18,28,14,19.5,23,28.5,16,14,26,14.5,17,19,18.5,23,25,22,20,23,16,28.5,19,24,19.5,27,28,14,19.5,17.5,26,15,17.5,26.5,13,21,21,25,24.5,21.5,23,23,15.5,25,27,25,20,28,25,20,18.5,25.5,15,24,21,18.5,17.5,22
18,21,21,26,15,16,18,24,23,21,22.5,19.5,27,26.5,14,21.5,24.5,19.5,19,21.5,18.5,27,22,15.5,21.5,19,24,23,21.5,18,25,31,18.5,18.5,17.5,25,14,19.5,22,28.5,16,14,26,14.5,17,18.5,18,21.5,24,22,20,23,16,28.5,19,22.5,18,27,28,16,21.5,17.5,25,15,17.5,25,13,22,21.5,26.5,23,19.5,23,28.5,15.5,23,26,24,19,28,25,21,19,28.5,15,24,18,19.5,17.5,22
19,21,21,26,15.5,16,17,23,23,20,23,20,27,26.5,14,23,23,18,21,22.5,18.5,23,24,17,21.5,21.5,24,23,21.5,16,23,24,18.5,17.5,18,25,14,19.5,23,26.5,15,14,25,14.5,17,16,15.5,21.5,24,19.5,20,23,19,28.5,19,24,17,27,26,15,22.5,17.5,26,15,17.5,29,16,23,22.5,25.5,22,21,23,26,15.5,25,25,21,17.5,28,24,25,20,28.5,18,22.5,18,18.5,18.5,22
19,20,21,21.5,19.5,16,17,24,22.5,19,23,18.5,27,26.5,14,21.5,24.5,18,21,21.5,18.5,23,22,18,22.5,20,22.5,23,19,16,21.5,28,18.5,19.5,18,25,14,19.5,22,26.5,14,19.5,25,14.5,17,19,19.5,21.5,22,17.5,22,22,17.5,28.5,18,22.5,18,29,29,15,21.5,17.5,25,15,17.5,28,13,22,21,25,20,19.5,23,24.5,15.5,23,25,22,19,28,18,26,18.5,26.5,19,25,18,18,19.5,22
19,18,18,21.5,19.5,16,15,24,23,18,23,18.5,27,26.5,14,21.5,25.5,18,22,19.5,25.5,23,22,18,21.5,20,21,23,18.5,15,21.5,25.5,18.5,19.5,18,24,22.5,19.5,23,26.5,16,19.5,23,14.5,17,19,18.5,22.5,24,17.5,20,23,19,30,19,24,19.5,27,28,14,21.5,17.5,26,15,17.5,26.5,12,23,21.5,26.5,24.5,19.5,24,28.5,15.5,20,28,22.5,21.5,28,22,27,18.5,26.5,18,25.5,18,17,18.5,22
16,19,15.5,21.5,15,16,17,24,23,20,22.5,18.5,26,26.5,14,21.5,25.5,21,21,21.5,25.5,23,22,15.5,22.5,20,22.5,25,24.5,16,21.5,26.5,18.5,19.5,20,24,21.5,21.5,24.5,26.5,16,19.5,23,14.5,17,18.5,18,23,26,17,20,25,19,31.5,18,24,21,27,26,14,18.5,17.5,25,15,17.5,26.5,13,27,21.5,25.5,24.5,18.5,24,26,18.5,26,29,21,19,28,22,28,18.5,28.5,19,21,18,15.5,17.5,22
16,20,16,26,15,16,18,23,24.5,19,22.5,18.5,26,26.5,14,20,28.5,19.5,23,21.5,25.5,23,22,15.5,24,20,24,24.5,17.5,15,21.5,25,18.5,20,20,24,22.5,19.5,24.5,26.5,16,18,21,14.5,17,17.5,15.5,23,24,17.5,22,23,19,31.5,17,24,22,27,25,14,19.5,17.5,25,15,17.5,24,17.5,26,18.5,25,24.5,18.5,24,26,18.5,26,29,22,20,28,22,28,19,27,18,22,18,18,17.5,22
16,19,15.5,25.5,14,16,19,22,25.5,20,22.5,17.5,26,26.5,14,21.5,25.5,18,25,21.5,25.5,23,22,14,24,20,24,23,24.5,16,26,26.5,18.5,21.5,20,24,22.5,19.5,24.5,28.5,16,19,21,14.5,17,16,15.5,21.5,24,22,22,22,19,30,18,24,21,27,24,14,21.5,17.5,26,15,17.5,25,17.5,27,21,25.5,24.5,18,24,24.5,17,26,25,22.5,17.5,28,19.5,27,20,26.5,19,22.5,18,15.5,18.5,22
16,21,16,25.5,15,16,18,21,25.5,21,25.5,18.5,26,26.5,14,23,24.5,17,25,21.5,25.5,24.5,24,15.5,22.5,20,22.5,23,24.5,18,26,25,18.5,21.5,16,25,21.5,19.5,24.5,29.5,16,19,26,14.5,17,17.5,17,21.5,26,21,20,26,17.5,28.5,19,24,19.5,27,25,14,21.5,17.5,26,15,17.5,29,17.5,26,21.5,26.5,24.5,18,24,28.5,18.5,26,26,24,21.5,28,18,26,18.5,25.5,21,22.5,18,17,19.5,22
16,20,15.5,24.5,14,16,19,21,21.5,20,22.5,18.5,26,26.5,14,21.5,24.5,18,22,24,20,23,22,17,21.5,23,22.5,23,24.5,18,25,29,18.5,22.5,16,25,22.5,19.5,23,25.5,15,19,26,14.5,17,17.5,15.5,21.5,25,21,20,25,19,24.5,18,24,18,27,26,18,24,17.5,27,15,17.5,28,18,20,24,28,27,18.5,23,28.5,17,25,25,21,19,28,17,27,17.5,24.5,19,22.5,18,15.5,18.5,22
19,25,16,24.5,15,16,19,21,21.5,21,23,18.5,25.5,25.5,14,20,24.5,18,22,24.5,20,23,24,18,22.5,23,21,23,23,18,24,24,18.5,20,16,25,22.5,21.5,23,24.5,14,19.5,25,14.5,17,17.5,17,22.5,26,22,20,26,20,24.5,19,21,17,27,26,15,24,17.5,26,15,17.5,26.5,17.5,24.5,18.5,26.5,26,18.5,22,27,18.5,25,25,22,20,24,18,23,18.5,24.5,18,22.5,18,15,17.5,22
19,24.5,15.5,24.5,15.5,16,19,20,21.5,20,23,19.5,25.5,24.5,14,21.5,23,17,22,24,17.5,23,22,18,21.5,23,22.5,25,23,18,24,29.5,18.5,19.5,20,25,25.5,19.5,22,25.5,16,19.5,25,14.5,17,21.5,17,23,25,22,20,25,20,24.5,19,22.5,17,27,28,15,22.5,17.5,27,15,17.5,26.5,17.5,24.5,19.5,28,24.5,18.5,21,26,18.5,23,21.5,22.5,19,24,21,24,17.5,24.5,19,22.5,18,14,17.5,22
18,23,21,24.5,15,16,19,22,22.5,19,23,20,25.5,27,14,20,22.5,17,22,22.5,17.5,23,22,15.5,18.5,24.5,22.5,25,23,18,22,25,18.5,20,20,26,25.5,21.5,24.5,25.5,16,19.5,23,14.5,17,21.5,15.5,20,24,22.5,20,26,19,29,19,21,10,27,26,14,22.5,17.5,26,15,17.5,28,17.5,24.5,21.5,26.5,24.5,18,22,26,18.5,25,23,22.5,17.5,25.5,17,25,16,24.5,15,22.5,18,18,17.5,22
18,23,20,24.5,15.5,16,21,24,23,20,23,20,26,24.5,14,21.5,23,17,22,22.5,17.5,24.5,21,15.5,19.5,25.5,21,23,23,18,24,26.5,18.5,21.5,20,26,24.5,19.5,24.5,25.5,16,19.5,23,14.5,17,21.5,17,23,25,22,20,25,20,28.5,19,22.5,11,29,28,14,21.5,17.5,27,15,17.5,26.5,18,23,24,28,27,15.5,23,26,18.5,26,23,22.5,19,25.5,18.5,26,16,29.5,17,22.5,18,17,18.5,22
18,23,19,24.5,21,16,21,23,26,23,23,19.5,26,24.5,14,20,24.5,18,23,21.5,17.5,22.5,22,14,24,25.5,22.5,25,22,18,25,25.5,20,22.5,16,26,24,19.5,22,24.5,15,18,21,14.5,17,20,17,23,26,22.5,20,29,21.5,26,19,24,14,27,28,14,22.5,17.5,26,15,17.5,26,16,24.5,21,25.5,26,15.5,23,25.5,17,24.5,21.5,24,17.5,26.5,21,21,16,26.5,15,24,18,14,19.5,22
16,25,23,25,21,16,21,22,25.5,25,22.5,18.5,28,25.5,14,21.5,24.5,19,24,22.5,17.5,23,22,15.5,24,25.5,21,23,22,18,25,25.5,21.5,21.5,16,26.5,22.5,18.5,22,25.5,14,21,26,14.5,17,21.5,15.5,23,26.5,22,20,27,21.5,26,19,22.5,14,26,26,14,21.5,17.5,27,15,17.5,26,13,25,21.5,28,24.5,15.5,25,27,18.5,23,23,21,17.5,25.5,21,20,20,27,15,24,18,15,18.5,22
18,26,22.5,24.5,22,16,21,23,23,24.5,22.5,20,28,25.5,14,20,27,18,23,22.5,17.5,24.5,29,17,22.5,18.5,22.5,23,22,16,22,25.5,22.5,21.5,22,26.5,21.5,19.5,22,25.5,16,21,26,14.5,17,20,17,24.5,26,22.5,20,26,19,30,19,24,14,25,28,16,19.5,17.5,26,15,17.5,25,13,26,18.5,26.5,23,17,23,26,19.5,24.5,24.5,19.5,21.5,24,21,26,21.5,27,15,22.5,18,15.5,18,22
16,26,23,23,21,16,21,24,23,23,21.5,17.5,28,25.5,14,20,25.5,17,23,24,17.5,25.5,26,18,21.5,20,21,23,22,20,24,18.5,22.5,21.5,22,28,21.5,18.5,23,28.5,16,19.5,25,14.5,17,21.5,15.5,25.5,25,22,22,26,19,29,19,22.5,15,26,28,18,24,17.5,25,15,17.5,26,13,26,21.5,28,22,17,23,25.5,18.5,24.5,23,25,20,25.5,21,26,18.5,28.5,18,25,18,15.5,18.5,22
18,26,22.5,23,19.5,16,22,24,20,24.5,21.5,21.5,28,25.5,14,21.5,27,18,24,24,17.5,25.5,28,18,22.5,18.5,22.5,25,21.5,19,24,25,22.5,20,23,28,21.5,19.5,24.5,29.5,16,19.5,25,14.5,17,17.5,18.5,26,24,22.5,20,26,19,28.5,19,24,15,25,26,18,24,17.5,30,15,17.5,26.5,16,27,22.5,26.5,20,17,23,23,18.5,23,22.5,25,20,24,17,25,18.5,26.5,19,25.5,18,15.5,18.5,22
19,23,23,22,19.5,16,19,24,23,21.5,21.5,17.5,27,25.5,14,20,28.5,17,25,24,20,25.5,25,15.5,21.5,20,22.5,25,21.5,18,25,18,22.5,19.5,21.5,28,19.5,19.5,24.5,25.5,16,17,23,14.5,17,17.5,18.5,26,24,24,20,25,19,26,19,22.5,10,26,29,16,24,17.5,29,15,17.5,28,13,22,24,28,19,17,22,23,17,24.5,21.5,25,19,25.5,18.5,23,18.5,22.5,18,25,18,15.5,17.5,22
19,24.5,20,24.5,19.5,16,22,24,22.5,24.5,21.5,19.5,27,24.5,14,21.5,28.5,17,25,21.5,21.5,25.5,26,15.5,22.5,21.5,21,23,19,17.5,25,24,21.5,18.5,20,25,24,19.5,24.5,24.5,15,18,23,14.5,17,16,18.5,26,23,19.5,22,26,20,27,19,24,11,27,28,15,24,17.5,27,15,18.5,26,12,24,24,25.5,20,15.5,21,26,18.5,23,20,25,17.5,26.5,21,24,18.5,24.5,19,24,18,15.5,19.5,22
19,23,22,24.5,19.5,16,23,25,22.5,23,21.5,19.5,27,24.5,14,20,27,17,25,21,23,24.5,25.5,14,21.5,21.5,22.5,25,18.5,16,24,17,21.5,17.5,19,25,24,19.5,23,22.5,16,19.5,21,14.5,17,17.5,18.5,26,24,21,22,25,21.5,27,19,24,14,27,26,16,24,17.5,26,15,18.5,24,13,25,24,28,22,15.5,22,26,18.5,24.5,24.5,25,19,25.5,17,25,17.5,26.5,18,24,18,15.5,20,22
19,22,21,24.5,18.5,16,24,24,23,24.5,22.5,19.5,27,26.5,14,21.5,25.5,18,26,19.5,24.5,23,26,18,19.5,21.5,22.5,20,24.5,16,22,25.5,20,24,19,25,22.5,19.5,23,24.5,15,18,21,14.5,17,17.5,19.5,25.5,25,22,20,26,26,30,19,24,14,27,25,14,24,17.5,27,15,18.5,22.5,17.5,25,24,26.5,23,17,23,26,18.5,15,23,22.5,21.5,25.5,18.5,25,17.5,28.5,19,22.5,18,15.5,19.5,22
19,20,19,24.5,18,16,21,23,23,24.5,23,19.5,27,24.5,14,23,26,18,25,18.5,23,23,25,18,21,21.5,21,20,17.5,23,24,18.5,21.5,24,22,24,21.5,19.5,23,24.5,14,19.5,26,14.5,17,17.5,18.5,26,22,22,20,32,18.5,28.5,19,24,14,27,24,14,24,17.5,26,15,18.5,24,17.5,24.5,21.5,28,24.5,18,25.5,26,17,18,21.5,22.5,19,25.5,21,24,17.5,26.5,21,24,18,15.5,18.5,22
19,20,20,27,18.5,16,21,24,22.5,22.5,22.5,19.5,27,22.5,14,21.5,26,17,22,21.5,16,23,25,18,21.5,21.5,22.5,20,24.5,23,24,28.5,20,24,23,24,21.5,19.5,24.5,22.5,12,19.5,26,14.5,17,19,18.5,26,23,21,20,31.5,18.5,30,19,24,15,27,25,14,22.5,17.5,25,15,14.5,22.5,17.5,25,21.5,26.5,23,18.5,23,26,18.5,19,23,24,20,28,21,24,17.5,24.5,19,18,18,15.5,17.5,22
20,21,20,26,18,16,24,24,23,29.5,22.5,19.5,26,22.5,14,14,27,21,23,21.5,17.5,24.5,25,18,21.5,19,21,23,24.5,20,25,21.5,21.5,24.5,23,24,22.5,19.5,24.5,24.5,12,19.5,25,14.5,17,19,18.5,26,22,21,20,30,18.5,28.5,19,24,15,29,26,21,21.5,17.5,25,15,14.5,22,18,25,24.5,28,22,18,23,26,21,20,23,24,17.5,28.5,21,23,17.5,21.5,18,12.5,18,15.5,19.5,22
21,22,20,25.5,17,16,24,23,25.5,28,22.5,19.5,26,24.5,14,14,24.5,19.5,23,24,18.5,23,25,18,21.5,20,22.5,23,24.5,20,25,25.5,22.5,22.5,22,24,21.5,19.5,23,24.5,16,18,25,14.5,17,18.5,21,25.5,21,19.5,20,31.5,18.5,30,19,24,15,27,26,22,21.5,17.5,25,15,14.5,26,17.5,24.5,24,25.5,20,15.5,25,26,19.5,22,23,24,21.5,28,21,24,17.5,24.5,19,18,18,15.5,20,22
18,22,20,24.5,18,16,21,22,24.5,27,25.5,19.5,26,24.5,14,14,25.5,17,24,24,18.5,23,25,18,21.5,21.5,19.5,23,23,20,24,18.5,18.5,21.5,23,24,22.5,19.5,22,24.5,16,19.5,23,14.5,17,17.5,18.5,26,21,22,20,32,18.5,28.5,19,24,15,26,26.5,22.5,22.5,17.5,23,15,18.5,26,17.5,25,22.5,22.5,23,15.5,23,25.5,15.5,19,23,21,20,25.5,24,23,17.5,22.5,21,18,21,15.5,19.5,22
17,20,20,26,18.5,16,24,21.5,23,26,25.5,19.5,26,24.5,14,14,21.5,17,23,24,18.5,23,25,18,21.5,21.5,19.5,23,23,20,25,25,19.5,21.5,19,24,21.5,21.5,22,26.5,16,17,23,14.5,17,19,18,26,22,24,20,31.5,19,23,19,24,14,25,26,22,21.5,17.5,25,15,18.5,26.5,17.5,24.5,22.5,22.5,24.5,15.5,23,26,15.5,18,21.5,22,20,24,24,22,17.5,26.5,19,12.5,22,15.5,18.5,22
16,21,20,25.5,18,16,25,24,22.5,27,25.5,19.5,26,24.5,14,14,23,17,25,17.5,18.5,23,25,18,21.5,21.5,19.5,23,23,19,24,18,20,21.5,22,24,22.5,19.5,20,22.5,16,18,25,14.5,17,19,18.5,25.5,23,25,20,30,20,23,19,25,12.5,26,21,21,19.5,17.5,23,15,18.5,25,18,24.5,24,22.5,26,14,23,25.5,15.5,18,23,22.5,19,22.5,24,24,16,25.5,19,17,22,15.5,19.5,22
16,22,20,25.5,18.5,16,25,23,22.5,23,24.5,19.5,25.5,24.5,14,14,21.5,18,25,17.5,18.5,24.5,29,18,19.5,21.5,19.5,23,23,19,26,25,20,20,23,24,21.5,18.5,23,22.5,15,19.5,19.5,14.5,17,18.5,18,26.5,24,25,20,31.5,25.5,23,19,22.5,12.5,25,22,18,18.5,22.5,25,15,18.5,26,20,24.5,15.5,22.5,24.5,18.5,28,23,15.5,19,24.5,21,21.5,24,24,23,16,24.5,19,17,22,15.5,20,22
18,23,20,25.5,18.5,18.5,24,22,23,23,25.5,19.5,25.5,22.5,14,14,23,19,25,17,18.5,22.5,26,18,19.5,20,19.5,23,22,19,26,18,18.5,19.5,24.5,25,25.5,19.5,24.5,24.5,14,17,19,14.5,17,17.5,18.5,28,24,25,20,26,19,23,19,22.5,12.5,25,23,19,19.5,22.5,27,15,18.5,26.5,20,23,22.5,22.5,19,19.5,27,23,15.5,20,23,22,20,24.5,25.5,21,17.5,26.5,18,18,22,15.5,19.5,22
19,22,20,26,18.5,18.5,23,21,23,27,24.5,19.5,25.5,22.5,14,14,25.5,18,26,22.5,18.5,23,28,18,21.5,21.5,19.5,23,22,18,26,26.5,20,20,24.5,25,24.5,19.5,23,22.5,16,18,21,14.5,17,16,18.5,28,26,25,20,26,19,24.5,19,22.5,12.5,25,24,18,21.5,22.5,26,15,19.5,26.5,20,22.5,22.5,25.5,19,19.5,26,23,15.5,22,22.5,22.5,19,24,24,23,18.5,21.5,19,18,22,15.5,18.5,22
19,22,20,27,19.5,18.5,25,21,22.5,25,25.5,19.5,26,24.5,14,14,23,17,25,21.5,18.5,24.5,25,17,21.5,19,19.5,25,22,18,25,19.5,20,21.5,24.5,25,24,19.5,22,24.5,16,21,19.5,14.5,17,16,18.5,28,25,25,20,26,19,23,19,19.5,14,26,24,18,18.5,20,26,15,17.5,25,19,19,22.5,25.5,20,21,25,26,15.5,19,23,22.5,17.5,24.5,24,24,16,22.5,18,18.5,22,15.5,17.5,22
19,22,20,27,21,18.5,24,21,23,26,25.5,19.5,26,24.5,14,14,23,17,21,25.5,25.5,25.5,26,17,19.5,20,19.5,24.5,22,16,24,25.5,18.5,21.5,19,25,22.5,19.5,22,22.5,15,21,19.5,14.5,17,16,21,25.5,24,19.5,20,26,19,28.5,19,22.5,15,25,24,18,18.5,20,25,15,18.5,26,20,20,22.5,26.5,22,17,23,26,15.5,18,24.5,21,17.5,24,24,25,20,24.5,19,18,24,15.5,17.5,22
16,26,20,25.5,22.5,18.5,26,19.5,22,26,24.5,19.5,28,24.5,14,14,21.5,17,21,25.5,25.5,25.5,25.5,17,21.5,21.5,19.5,23,21.5,20,26,18.5,19.5,22.5,19,22,21.5,19.5,20,24.5,16,19.5,19.5,14.5,17,17.5,19.5,25.5,25,25,20,26,19,27,19,19.5,14,25,19,21,18.5,21.5,26,15,18.5,26.5,20,22,21.5,25.5,25,17,23,26,15.5,18,25.5,22,17.5,24,21,26,21.5,26.5,18,17,24,15.5,19.5,22
16,24.5,20,23,22.5,18.5,25,22,23,25,25.5,19.5,28,24.5,14,14,20,21,21,25.5,25.5,25.5,26,14,22.5,21.5,19.5,23,21.5,19,26,19.5,19.5,21.5,22,24,21.5,21.5,23,24.5,15,21,19.5,14.5,17,19,19,25.5,25,25,20,25,20,26,19,22,12.5,25,19,22,19.5,22.5,26,15,18.5,26.5,20,23,22.5,28,25,17,23,24.5,15.5,24,23,22.5,17.5,24.5,24,26,18.5,28.5,19,15.5,25,15.5,20,22
16,25,20,22,22.5,18.5,24,22,24.5,24.5,25.5,19.5,28,24.5,14,14,24.5,19.5,22,19.5,25.5,25.5,25,14,19.5,21.5,21,23,19,18,26,20,20,19.5,23,25,21.5,19.5,23,22.5,14,21,19.5,14.5,17,19,19.5,25.5,26,25,20,23,21.5,23,19,22.5,12.5,26,19.5,23,21.5,20,26,15,18.5,25,20,24.5,24,26.5,24.5,15.5,23,26,15.5,22.5,23,22.5,17.5,24,24,26,17.5,26.5,18,11,22,15.5,19.5,22
